Source: CPS Annual Social and Economic (March) Supplement 201803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight used: MARSUPWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming; Demographic - race of respondent (PRDTRACE): White Only, Black Only, Asian Only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Selected Geographies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Demographics, Educational attainment (A_HGA)",Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
 -> Total,309742655,4683440,512455,6482656,2796888,37147268,5311640,3455709,923784,664619,20571063,10041349,894159,1671984,12288956,6389451,2984066,2715744,4298199,4436310,1260253,5804462,6542073,9669207,5431286,2868311,5774714,965364,1837523,2715916,1299710,8857252,1710923,19175000,9769615,673024,11234885,3227761,3893862,12289170,995034,4879442,757767,6507824,27020296,2999827,593813,7953156,6860569,1743809,5635019,526048
 -> Total -> Total Male,151879209,2247831,259741,3213094,1348795,18360171,2636966,1710015,453381,313828,10028159,4799913,438312,840063,6010582,3129188,1454497,1358009,2106864,2111837,612257,2780333,3171334,4749843,2735111,1389263,2816697,481804,903090,1337041,645246,4383742,832140,9358276,4781415,344396,5479349,1588836,1951280,6005839,484102,2336735,389119,3168626,13306771,1511969,291734,3816420,3436909,869404,2834839,264043
 -> Total -> Total Male -> Total Hispanic,27966313,117431,22192,1117407,111369,7172608,605327,296825,49682,38626,2636381,496520,34324,116028,1075200,244280,84718,204809,79269,132570,4695,286567,346358,217013,112931,31309,159323,16516,126112,378567,19532,860556,425209,1535677,589805,14045,216754,221751,226502,480718,74935,123181,20504,183008,5285047,230269,3073,483310,460175,11590,159500,26215
 -> Total -> Total Male -> Total Hispanic -> Total White Only,26274101,110042,19374,1082959,110410,6813648,585477,254478,45577,29642,2514617,435206,21267,116028,1045457,244280,82783,199663,73924,116212,4695,211318,301450,215389,108202,26824,145758,16516,124032,364213,18106,767528,410734,1228732,548168,14045,171336,221751,222708,422808,69032,106540,19815,154162,5195488,223746,3073,441658,436183,11590,141742,25715
Children,6852857,35686,7607,279174,39044,1712258,177377,64418,10741,6748,505464,119639,7035,37790,225956,61586,23088,70452,18603,34812,429,53951,73137,52057,39306,7111,44681,4635,49591,104731,6641,162530,104293,294969,152670,3187,47771,78073,57441,113216,16849,37827,5236,43598,1467839,77638,1367,113685,138201,6354,47333,9032
Less Than 1st Grade,201566,849,0,2338,1103,69319,0,1497,0,373,15687,2853,0,591,8407,1715,0,812,0,0,0,3023,1247,5266,0,0,0,137,2294,0,0,0,2304,14241,9696,0,0,0,1337,0,0,1011,0,0,44292,1234,0,7043,2897,0,0,0
"1st,2nd,3rd,or 4th grade",478400,1705,0,24218,2295,146816,14523,6428,688,1043,24403,3306,282,1891,9292,0,2041,2365,1506,6016,1272,3738,6085,0,1575,0,0,0,1800,7513,0,8930,5065,17178,15885,0,0,2774,4234,6334,2469,1025,289,2671,118302,1572,0,5765,13145,0,1961,0
5th Or 6th Grade,1153510,4899,0,43948,5899,374682,23802,12375,3802,1374,62017,25133,822,6349,64684,6177,3789,10524,1664,3301,0,5378,13725,6496,3785,0,0,171,4927,15551,379,38247,11633,33880,48203,0,0,13249,25275,7798,475,4903,225,15178,194253,6983,423,15272,19027,0,12236,597
7th and 8th grade,878291,7193,507,27860,3451,206002,18901,4726,1153,1023,63698,26439,273,3637,30337,6776,0,7637,4579,2008,0,5424,8963,1462,3741,0,7495,383,6981,7752,885,36823,10588,37105,20512,1086,0,8562,13417,14744,3774,2844,1422,11998,192660,5256,0,26619,28904,270,1752,669
