Source: CPS Annual Social and Economic (March) Supplement 201903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight used: MARSUPWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming; Demographic - race of respondent (PRDTRACE): White Only, Black Only, Asian Only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Selected Geographies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Demographics, Educational attainment (A_HGA)",Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
 -> Total,310632365,4712485,529158,6733811,2827235,37108514,5500450,3302181,941664,667665,20611424,10131029,894826,1711937,12260383,6358937,3042618,2693992,4355416,4361612,1255950,5822134,6648898,9718742,5516835,2851757,5757674,971899,1848168,2687402,1317684,8672767,1754904,18866888,9826021,681705,11144558,3242365,3845552,12229837,1001471,4968879,759433,6482876,27450001,3019650,605267,8073397,7001519,1725401,5601192,536202
 -> Total -> Total Male,152302788,2285227,276139,3401847,1344357,18290815,2776140,1559619,459411,313266,10030157,4893934,443780,855250,6061681,3112170,1517006,1333703,2152216,2086986,610664,2848488,3234073,4793553,2820520,1364483,2803223,479047,912524,1326087,655142,4192430,858823,9181021,4785034,346129,5391737,1606004,1883349,5913904,484593,2377120,373297,3138268,13541644,1523024,295910,3938988,3511761,851433,2796608,270203
 -> Total -> Total Male -> Total Hispanic,28385445,124424,15336,1107114,107505,7170971,594841,280365,45345,34345,2760455,592592,28845,137954,1122338,314385,114538,172255,91902,127274,10383,345868,333284,205760,120453,31603,142938,15935,128092,305797,19463,724243,448840,1723889,505515,7045,174295,237870,224264,423425,83516,146927,16630,221823,5441787,244175,5226,448262,481921,15512,183922,23998
 -> Total -> Total Male -> Total Hispanic -> Total White Only,26645208,113224,12700,1093179,102543,6874084,568346,246029,37752,25725,2610532,526773,16994,135392,1089983,308455,112345,169691,86327,112087,10383,253352,304751,205760,120453,29065,138719,15541,125053,293984,17827,636081,435277,1249482,475835,6745,150417,236693,210737,385911,66100,130215,14686,197576,5316826,240742,5045,429591,478338,13942,183922,23998
Children,6906761,37883,2623,283307,34104,1740079,160568,61447,12035,6179,563939,125667,3289,36918,261154,71892,34028,52674,23135,35370,1645,56966,77018,57784,36664,8272,38419,3485,38550,69952,5732,142537,111060,305073,140902,2847,43958,74359,64385,115208,16323,43792,3859,56489,1435189,80148,2048,120443,145253,4927,49770,7413
Less Than 1st Grade,240721,0,0,2156,1802,69776,7097,0,0,0,3701,0,323,1178,1857,0,0,2651,2704,0,0,0,2404,0,3489,0,0,0,4561,0,0,6858,1789,35487,0,0,0,817,8161,6157,401,891,0,3200,61154,666,0,6834,4607,0,0,0
"1st,2nd,3rd,or 4th grade",516346,2247,261,19792,549,191284,12411,7130,654,1102,20648,6442,0,6080,17765,7578,4099,3645,1403,1209,0,7698,1055,1637,0,1229,0,0,4019,3782,0,12685,2973,11133,10072,0,3310,1801,3085,6718,757,2818,549,5141,95714,1042,0,13054,14266,0,7385,124
5th Or 6th Grade,1232216,5693,0,34541,6917,390376,27892,11005,4064,379,60100,35639,675,10370,58936,2727,4603,4748,1500,2057,0,26237,4604,9824,7615,851,2206,0,6050,7182,482,11137,9362,48336,36588,0,3128,17006,14321,4100,2950,11317,212,9340,244217,8345,163,34685,34635,320,13363,1418
7th and 8th grade,829355,2463,686,22391,4400,209467,17638,9098,1762,994,45440,39005,0,3805,32368,8674,4127,13628,0,6182,588,4070,9409,0,3146,0,3119,479,5164,10592,375,22421,12695,38537,9693,400,0,5603,5225,14647,3572,4429,793,2670,184813,8536,0,9507,37905,1379,7066,394
