export-13
Source: CPS Annual Social and Economic (March) Supplement 202003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight used: MARSUPWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming; Demographic - race of respondent (PRDTRACE): White Only, Black Only, Asian Only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Selected Geographies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Demographics, Educational attainment (A_HGA)",Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
 -> Total,311435109,4738682,499358,6771827,2837717,36821021,5530282,3385796,942940,684049,20697056,10029740,888380,1720244,12259778,6423445,3075139,2648873,4313813,4444867,1308312,5907897,6583050,9637165,5494985,2883831,5905759,987830,1804862,2813259,1336877,8622800,1769618,18705718,10022061,694148,11031537,3314048,3859892,12208662,1001171,5004475,764155,6529240,27887943,3103757,604359,8082566,7053932,1713669,5548275,536249
 -> Total -> Total Male,152682225,2282127,256768,3368891,1359488,18291021,2796434,1636734,453505,323828,10107556,4739246,440800,857243,6020746,3176264,1541066,1296970,2126953,2152608,651139,2895912,3217386,4742318,2757496,1388210,2910577,489946,894024,1413100,663756,4169723,872064,9000293,4869640,358849,5381529,1657720,1870706,5925066,489373,2436500,382276,3171087,13702293,1568740,297488,3913348,3499424,840035,2752139,271820
 -> Total -> Total Male -> Total Hispanic,28577899,124417,17840,1181819,123086,7274077,645646,245093,40318,25881,2725204,590953,30591,91966,1110249,163155,127765,161490,67030,138372,13907,342204,316124,240707,155877,49174,138992,10834,100575,350286,32043,766640,413573,1779890,655129,7737,218996,229186,230064,408160,72296,131602,16622,240205,5356164,210238,4187,436730,539682,24979,173868,26276
 -> Total -> Total Male -> Total Hispanic -> Total White Only,26897760,124417,15894,1172351,113385,6944870,628370,193268,38379,19749,2597081,515536,22985,91587,1070437,154753,127765,159422,65105,134048,13907,264226,281855,227207,151650,47351,138992,10177,100575,331315,30700,709536,400422,1411649,561167,6537,177915,229186,226507,347994,55893,122267,14767,210676,5266538,198874,4187,410189,536861,22336,171034,25868
Children,6892500,53456,5460,336433,29595,1718215,165606,40594,11961,4124,517196,162490,6914,22364,246064,41666,34081,54918,15410,46142,2254,75683,63822,72312,44629,13001,34712,2045,31987,84614,11458,134906,104204,325205,159411,2486,51517,50338,59660,101903,15316,30596,3918,68152,1437297,64510,1502,104982,154772,10797,52345,9477
Less Than 1st Grade,238693,11282,0,8553,0,73852,2302,0,0,0,15666,0,0,0,7961,0,0,2475,3147,3978,0,14096,1241,0,0,0,2000,0,0,3790,0,1780,494,8077,11281,0,5341,818,5028,1430,577,1582,0,0,44341,805,0,6796,0,0,0,0
"1st,2nd,3rd,or 4th grade",500754,2638,0,18174,5552,191804,6707,0,1179,0,19367,4601,0,2444,21766,0,3445,2103,0,2872,0,8479,5575,2988,2292,0,4777,0,4620,7118,0,10421,4716,16385,11830,0,4427,4646,2127,3426,1382,3762,0,3856,85034,1528,0,10125,14275,0,4137,176
5th Or 6th Grade,1098705,4413,0,39563,4949,401223,9065,6335,3755,458,27057,16099,488,5230,65430,3709,4410,3038,7543,5108,0,8003,8025,2747,13501,721,0,0,9023,4873,3923,26270,16969,44147,16330,0,5877,10819,11139,1955,3242,4242,0,8041,220559,3824,0,32363,27659,675,5718,187
7th and 8th grade,741444,2535,0,31637,2500,185588,30775,6413,877,182,46998,30909,821,2693,34664,7208,5885,1836,0,3044,1277,2515,9890,4118,5103,1583,0,212,856,8325,450,30289,13414,43651,20071,181,1341,10987,3207,16978,2731,10090,0,5489,120645,6442,0,10433,11690,970,3355,586
